DOI;PMID;arXiv ID;Title;Abstract;Authors;Journal;Year
10.1093/epirev/mxt009;24284871;;The Prevalence and Risk Factors of Dysmenorrhea;Dysmenorrhea is a common menstrual complaint with a major impact on women’s quality of life, work productivity, and health-care utilization. A comprehensive review was performed on longitudinal or case-control or crosssectional studies with large community-based samples to accurately determine the prevalence and/or incidence and risk factors of dysmenorrhea. Fifteen primary studies, published between 2002 and 2011, met the inclusion criteria. The prevalence of dysmenorrheavaries between 16% and 91% in women of reproductive age, with severe pain in 2%–29% of the women studied. Women’s age, parity, and use of oral contraceptives were inversely associated with dysmenorrhea, and high stress increased the risk of dysmenorrhea. The effect sizes were generally modest to moderate, with odds ratios varying between 1 and 4. Family history of dysmenorrhea strongly increased its risk, with odds ratios between 3.8 and 20.7. Inconclusive evidence was found for modifiable factors such as cigarette smoking, diet, obesity, depression, and abuse. Dysmenorrhea is a significant symptom for a large proportion of women of reproductive age;;;
10.1001/archpedi.154.12.1226;11115307;;Prevalence and impact of dysmenorrhea on Hispanic female adolescents.;Background  Dysmenorrhea is the leading cause of short-term school absenteeism. It is associated with a negative impact on social, academic, and sports activities of many female adolescents. Dysmenorrhea has not previously been described among Hispanic adolescents, the fastest growing minority group in the United States.  Objective  To determine the prevalence of dysmenorrhea among Hispanic female adolescents;;;
10.1016/s1607-551x(09)70395-x;17395566;;Effect of Systematic Menstrual Health Education on Dysmenorrheic Female Adolescents' Knowledge, Attitudes, and Self-Care Behavior;The purpose of this study was to evaluate the effects of systematic health education on female adolescents' knowledge of dysmenorrhea, menstrual attitudes, and dysmenorrhea-related self-care behaviors. Through the research process, a dysmenorrheal self-care pamphlet for female adolescents was developed. The study used a quasi-experimental intervention with a nonequivalent-control group design. Three vocational nursing schools were requested to participate in this study: one was assigned to the experimental group and two were assigned to the control group. Female students who had experienced dysmenorrheic cramps two or more times during the last 6 months since the interview were recruited for the study. There were 218 subjects randomly assigned to an experimental group, and 237 subjects to a control group. Intervention consisted of a three-session health education program in which the experimental group was split up into six smaller groups. Data were collected before, 2 weeks after, and 4 months after the intervention. Results revealed a significant increase in the experimental group members' dysmenorrhea-related knowledge and self-care behavior, but not in their attitudes. The findings of this study can serve as a guide to healthcare providers who want to design an effective systematic menstrual health education program for female adolescents.;Miin-Huey Chiou,Hsiu-Hung Wang,Yi-Hsin Yang,Yi-Hsin Yang;Kaohsiung Journal of Medical Sciences;2007
10.1097/00006842-198009000-00005;7465737;;The menstrual attitude questionnaire;In order to examine the relationship of attitudes about menstruation to self-reports of menstrual-related symptomatology as well as to other aspects of behavior, an instrument to measure attitudes concerning menstruation was developed. After constructing the Menstrual Attitude Questionnaire (MAQ), t;Jeanne Brooks-Gunn,Diane N. Ruble;Psychosomatic Medicine;1980
10.5539/gjhs.v5n3p163;23618486;;Characteristics of menstrual cycle in shift workers.;Background: In this study, the characteristics of menstrual cycle in shift workers employed in the pharmaceutical industry are investigated. Method: This study was conducted in a pharmaceutical industrial complex in Tehran in 2012. 406 female workers in packaging units were studied on the menstrual cycle characteristics. The studied workers were divided into two groups of shift workers and non-shift workers and were compared in terms of the frequency of menstrual disorder (short-term cycle, long-term cycle, irregular cycle and bleeding during menstrual cycle) as well as hormonal values (FSH, LH, TSH, and Prolactin). Results: The odds ratio (OR) for menstrual disorder in the shift workers was 5.54 (95% CI=2.78-11.02) compared to the non-shift workers. The mean difference of hormonal values (except prolactin) between shift workers and non-shift workers was not significant (P> 0.05). Conclusion: This study suggests that shift work may disrupt the menstrual cycle.;Mirsaeed Attarchi,Hamidreza Darkhi,Mahshad Khodarahmian,Mandana Dolati,Maryam Kashanian,Mostafa Ghaffari,Elham Mirzamohammadi,Saber Mohammadi;Global Journal of Health Science;2013
10.1080/07399330290107449;12418990;;EFFECTS OF SHIFTWORK ON SLEEP AND MENSTRUAL FUNCTION IN NURSES;Evidence suggests that shiftwork is associated with menstrual irregularities, reproductive disturbances, risk of adverse pregnancy outcome, and sleep disturbances in women, yet little has been done to evaluate the effects of shiftwork on menstrual function and fertility. The purpose of this study was to evaluate menstrual function, fertility, and pregnancy outcome in nurses working shiftwork, and to examine the relationship of sleep to menstrual function. Sixty-eight nurses < 40 years old completed a survey evaluating sleep, menstrual function, and pregnancy outcome. Fifty-three percent of the women noted menstrual changes when working shiftwork. Women noting menstrual changes reported more physiological symptoms ( p < 0.003), slept approximately one hour less when working nights, and reported lengthened time to fall asleep ( p < 0.01) when working nights. Findings suggest that sleep disturbances may lead to menstrual irregularities, and changes in menstrual function may be a marker of shiftwork intolerance.;Susan E. Labyak,Susan Lava,Fred W. Turek,Phyllis C. Zee;Health Care for Women International;2002
10.1093/humupd/dmv039;26346058;;What we know about primary dysmenorrhea today: a critical review;BACKGROUND: Primary dysmenorrhea, or painful menstruation in the absence of pelvic pathology, is a common, and often debilitating, gynecological condition that affects between 45 and 95% of menstruating women. Despite the high prevalence, dysmenorrhea is often poorly treated, and even disregarded, by health professionals, pain researchers, and the women themselves, who may accept it as a normal part of the menstrual cycle. This review reports on current knowledge, particularly with regards to the impact and consequences of recurrent menstrual pain on pain sensitivity, mood, quality of life and sleep in women with primary dysmenorrhea.  METHODS: Comprehensive literature searches on primary dysmenorrhea were performed using the electronic databases PubMed, Google Scholar and the Cochrane Library. Full-text manuscripts published between the years 1944 and 2015 were reviewed for relevancy and reference lists were cross-checked for additional relevant studies. In combination with the word 'dysmenorrhea' one or more of the following search terms were used to obtain articles published in peer-reviewed journals only: pain, risk factors, etiology, experimental pain, clinical pain, adenomyosis, chronic pain, women, menstrual cycle, hyperalgesia, pain threshold, pain tolerance, pain sensitivity, pain reactivity, pain perception, central sensitization, quality of life, sleep, treatment, non-steroidal anti-inflammatory drugs.  RESULTS: Women with dysmenorrhea, compared with women without dysmenorrhea, have greater sensitivity to experimental pain both within and outside areas of referred menstrual pain. Importantly, the enhanced pain sensitivity is evident even in phases of the menstrual cycle when women are not experiencing menstrual pain, illustrating that long-term differences in pain perception extend outside of the painful menstruation phase. This enhanced pain sensitivity may increase susceptibility to other chronic pain conditions in later life;;;
10.1002/nur.21726;27177093;;Beliefs About Dysmenorrhea and Their Relationship to Self-Management.;Dysmenorrhea is highly prevalent and is the leading cause of work and school absences among women of reproductive age. However, self-management of dysmenorrhea is not well understood in the US, and little evidence is available on factors that influence dysmenorrhea self-management. Guided by the Common Sense Model, we examined women's representations of dysmenorrhea (beliefs about causes, symptoms, consequences, timeline, controllability, coherence, and emotional responses), described their dysmenorrhea self-management behaviors, and investigated the relationship between representations and self-management behaviors. We conducted a cross-sectional, web-based survey of 762 adult women who had dysmenorrhea symptoms in the last six months. Participants had varied beliefs about the causes of their dysmenorrhea symptoms, which were perceived as a normal part of life. Dysmenorrhea symptoms were reported as moderately severe, with consequences that moderately affected daily life. Women believed they understood their symptoms moderately well and perceived them as moderately controllable but them to continue through menopause. Most women did not seek professional care but rather used a variety of pharmacologic and complementary health approaches. Care-seeking and use of self-management strategies were associated with common sense beliefs about dysmenorrhea cause, consequences, timeline, and controllability. The findings may inform development and testing of self-management interventions that address dysmenorrhea representations and facilitate evidence-based management. © 2016 Wiley Periodicals, Inc.;Chen X. Chen,Kristine L. Kwekkeboom,Sandra E. Ward;Research in Nursing & Health;2016
10.1371/journal.pmed.1002803;;;Women’s and girls’ experiences of menstruation in low- and middle-income countries: A systematic review and qualitative metasynthesis;Background Attention to women’s and girls’ menstrual needs is critical for global health and gender equality. The importance of this neglected experience has been elucidated by a growing body of qualitative research, which we systematically reviewed and synthesised.   Methods and findings We undertook systematic searching to identify qualitative studies of women’s and girls’ experiences of menstruation in low- and middle-income countries (LMICs). Of 6,892 citations screened, 76 studies reported in 87 citations were included. Studies captured the experiences of over 6,000 participants from 35 countries. This included 45 studies from sub-Saharan Africa (with the greatest number of studies from Kenya [n = 7], Uganda [n = 6], and Ethiopia [n = 5]), 21 from South Asia (including India [n = 12] and Nepal [n = 5]), 8 from East Asia and the Pacific, 5 from Latin America and the Caribbean, 5 from the Middle East and North Africa, and 1 study from Europe and Central Asia. Through synthesis, we identified overarching themes and their relationships to develop a directional model of menstrual experience. This model maps distal and proximal antecedents of menstrual experience through to the impacts of this experience on health and well-being. The sociocultural context, including menstrual stigma and gender norms, influenced experiences by limiting knowledge about menstruation, limiting social support, and shaping internalised and externally enforced behavioural expectations. Resource limitations underlay inadequate physical infrastructure to support menstruation, as well as an economic environment restricting access to affordable menstrual materials. Menstrual experience included multiple themes: menstrual practices, perceptions of practices and environments, confidence, shame and distress, and containment of bleeding and odour. These components of experience were interlinked and contributed to negative impacts on women’s and girls’ lives. Impacts included harms to physical and psychological health as well as education and social engagement. Our review is limited by the available studies. Study quality was varied, with 18 studies rated as high, 35 medium, and 23 low trustworthiness. Sampling and analysis tended to be untrustworthy in lower-quality studies. Studies focused on the experiences of adolescent girls were most strongly represented, and we achieved early saturation for this group. Reflecting the focus of menstrual health research globally, there was an absence of studies focused on adult women and those from certain geographical areas.   Conclusions Through synthesis of extant qualitative studies of menstrual experience, we highlight consistent challenges and developed an integrated model of menstrual experience. This model hypothesises directional pathways that could be tested by future studies and may serve as a framework for program and policy development by highlighting critical antecedents and pathways through which interventions could improve women’s and girls’ health and well-being.   Review protocol registration The review protocol registration is PROSPERO: CRD42018089581.;Julie Hennegan,Alexandra K. Shannon,Jennifer Rubli,Kellogg J. Schwab,G. J. Melendez-Torres;PLOS Medicine;2019
;23061300;;Dysmenorrhea among Siriraj nurses;;;;
10.1155/2012/534204;22474441;;Natural history of irritable bowel syndrome in women and dysmenorrhea: a 10-year follow-up study.;Background. Studies have shown that women are more likely to have irritable bowel syndrome (IBS) and more women seek healthcare because of IBS than men. Aim. We wanted to examine the natural history of IBS and dysmenorrhea in women over a 10-year period and to assess the change in IBS after menopause. Method. A population-based postal study. A questionnaire was mailed to the same age- and gender-stratified random sample of the Icelandic population aged 18–75 in 1996 and again in 2006. Results. 77% premenopausal women had dysmenorrhea in the year 1996 and 74% in 2006. 42% of women with dysmenorrhea had IBS according to Manning criteria in the year 2006 and 49% in 1996. 26% of women with dysmenorrhea had IBS according to Rome III 2006 and 11% in the year 1996. In 2006 30% women had severe or very severe dysmenorrhea pain severity. More women (27%) reported severe abdominal pain after menopause than before menopause 11%. Women without dysmenorrhea were twice more likely to remain asymptomatic than the women with dysmenorrhea. Women with dysmenorrhea were more likely to have stable symptoms and were twice more likely to have increased symptoms. Conclusion. Women with IBS are more likely to experience dysmenorrhea than women without IBS which seems to be a part of the symptomatology in most women with IBS. IBS symptom severity seems to increase after menopause.;Linda Bjork Olafsdottir,H. Gudjonsson,Heidur Hrund Jonsdottir,Einar Bjornsson,Bjarni Thjodleifsson;Gastroenterology Research and Practice;2012
10.5271/sjweh.3482;25634477;;Work schedule and physically demanding work in relation to menstrual function: the Nurses’ Health Study 3;Objectives   This study aimed to evaluate occupational exposures and menstrual cycle characteristics among nurses. ;;;
10.1016/j.jpag.2006.05.004;16873033;;Self-treatment patterns among adolescent girls with dysmenorrhea;Abstract   Study Objective  To describe both non-pharmacologic and pharmacologic treatments used by adolescents with dysmenorrhea.    Design  Cross-sectional study.    Setting  Urban academic medical center.    Participants  Healthy adolescents aged 19 years or younger (n = 76) with moderate to severe primary dysmenorrhea were included;;;
10.1097/01.jnr.0000387286.30688.5b;18348104;;Predictors of dysmenorrhea and self-care behavior among vocational nursing school female students.;The purposes of this study were to investigate: (a) differences in demographic characteristics between a group of with dysmenorrhea and a group without this condition, (b) the predictors of dysmenorrhea, and (c) self-care behavior for dysmenorrhea among vocational nursing school female students. A convenience sampling method was used. Freshmen from three vocational nursing schools located in southern Taiwan were recruited. 805 potential participants were surveyed with structured questionnaires, and 760 valid questionnaires were obtained. Results showed the average age of the participants to be 16.7 years. The prevalence rate of dysmenorrhea was 73.3%. Fifty percent of participants reported their menarche occurred between the ages of 12 to 14, 61.6% of them still didn't have regular menstruation, 83.9% had menstruation periods that lasted between 4 to 6 days, 34.6% had received relevant health education, and 20.8% had visited a doctor for dysmenorrhea. There was a significant difference between the dysmenorrhea and non-dysmenorrhea groups in terms of menstrual regularity and receipt of health education. Based on research results, we suggest improving female adolescents' self-care behavior against dysmenorrhea through enhanced health education in schools.;Miin-Huey Chiou,Hsiu-Hung Wang;Journal of Nursing Research;2008
10.1111/j.1471-0528.2009.02407.x;19874294;;The menstrual disorder of teenagers (MDOT) study: determining typical menstrual patterns and menstrual disturbance in a large population-based study of Australian teenagers.;Please cite this paper as: Parker M, Sneddon A, Arbon P. The menstrual disorder of teenagers (MDOT) study: determining typical menstrual patterns and menstrual disturbance in a large population-based study of Australian teenagers. BJOG 2010;;;
Conclusions Menstrual pain and symptoms are common in teenagers. Girls indicating moderate to severe pain in association with a high number of menstrual symptoms; school absence and interference with life activities should be effectively managed to minimise menstrual morbidity. Those girls who do not respond to medical management should be considered for further investigation for possible underlying pathology;" such as endometriosis.""";Melissa Parker,Anne Sneddon,Paul Arbon;British Journal of Obstetrics and Gynaecology;2010;;
10.1539/joh.47.149;15824480;;The associations between menstrual function and life style/working conditions among nurses in Taiwan.;This study was aimed at understanding the relationship among menstrual pattern, dysmenorrhea, life style and working conditions in nurses. The nurses were randomly selected from a medical center in Northern Taiwan. Each subject completed daily records including life and working conditions during the study period. The study showed that there were statistically significant differences in work years, daily working hours and type of work shift among nurses that worked at different units in the hospital. In the perceived regular cycle group, nurses that worked the night shift only exhibited the shortest menstrual cycles, less than 25 d. There was a significant difference (p<0.05) among the nurses' menstrual cycles. Many life factors (such as passive tobacco smoke exposure, perceived life satisfaction and perceived life stress) and working factors (such as work years, perceived work satisfaction and perceived work stress) were not significantly related to menstrual cycle regularity. In addition, 30% of the nurses complained of dysmenorrhea. Some factors including age, marital status and perceived life satisfaction were significantly related to dysmenorrhea. However, other life factors (such as passive tobacco smoke exposure, smoking, coffee, alcohol, cold drink habits, exercise and perceived life stress) and working factors (such as working places, type of work shift, daily work hours, perceived work satisfaction and perceived work stress) showed no correlation with dysmenorrhea. This study indicates that women should pay attention to their menstrual function and dysmenorrhea phenomenon.;Fen-Fang Chung,Chuan-Chiang Chou Yao,Gwo-Hwa Wan;Journal of Occupational Health;2005
10.2147/ijwh.s52429;24368891;;Burden of menstrual symptoms in Japanese women - an analysis of medical care-seeking behavior from a survey-based study.;Background;;;
Menstrual symptoms are associated with various health problems in women of reproductive age; and this may impact their quality of life. Despite this;" Japanese women are likely to hesitate seeking a specialist’s medical help for their menstrual symptoms.""";Erika Tanaka,Mikio Momoeda,Yutaka Osuga,B. Rossi,Ken Nomoto,Masakane Hayakawa,Kinya Kokubo,E.C.Y. Wang;International Journal of Women's Health;2013;;
10.1007/s11199-011-0052-z;;;The Menstrual Mark: Menstruation as Social Stigma;In this theoretical paper, we argue that menstruation is a source of social stigma for women. The word stigma refers to any stain or mark that renders the individual’s body or character defective. This stigma is transmitted through powerful socialization agents in popular culture such as advertisements and educational materials. We demonstrate, in our review of the psychological literature concerning attitudes and experiences of predominantly American girls and women, that the stigmatized status of menstruation has important consequences for their health, sexuality, and well-being. We argue that the stigma of menstruation both reflects and contributes to women’s lower social status and conclude with suggestions for ways to resist the stigma.;Ingrid Johnston-Robledo,Ingrid Johnston-Robledo,Ingrid Johnston-Robledo,Joan C. Chrisler;Sex Roles;2013
10.1371/journal.pone.0079132;24244435;;'We keep it secret so no one should know'--a qualitative study to explore young schoolgirls attitudes and experiences with menstruation in rural western Kenya.;Background: Keeping girls in school offers them protection against early marriage, teen pregnancy, and sexual harms, and enhances social and economic equity. Studies report menstruation exacerbates school-drop out and poor attendance, although evidence is sparse. This study qualitatively examines the menstrual experiences of young adolescent schoolgirls. Methods and Findings: The study was conducted in Siaya County in rural western Kenya. A sample of 120 girls aged 14–16 years took part in 11 focus group discussions, which were analysed thematically. The data gathered were supplemented by information from six FGDs with parents and community members. Emergent themes were: lack of preparation for menarche;;;
10.1136/oem.2003.012302;15550609;;Stress and dysmenorrhoea: a population based prospective study;Background: Dysmenorrhoea is the most common gynaecological disorder in women of reproductive age. Despite the association between stress and pregnancy outcomes, few studies have examined the possible link between stress and dysmenorrhoea. Aims and Methods: Using a population based cohort of Chinese women, the independent effect of women's perceived stress in the preceding menstrual cycle on the incidence of dysmenorrhoea in the subsequent cycle was investigated prospectively. The analysis included 1160 prospectively observed menstrual cycles from 388 healthy, nulliparous, newly married women who intended to conceive. The perception of stress and the occurrence of dysmenorrhoea in each menstrual cycle were determined from daily diaries recorded by the women. Results: After adjustment for important covariates, the risk of dysmenorrhoea was more than twice as great among women with high stress compared to those with low stress in the preceding cycle (OR = 2.4;;;
10.1186/1472-698x-11-7;21679414;;'The girl with her period is the one to hang her head' Reflections on menstrual management among schoolgirls in rural Kenya;The onset of menstruation is a landmark event in the life of a young woman. Yet the complications and challenges that can accompany such an event have been understudied, specifically in resource-poor settings. As interventions aim to improve female attendance in schools, it is important to explore how menstruation is perceived and navigated by girls in the school setting. This research conveys rural Kenyan schoolgirls' perceptions and practices related to menstruation Data were collected at six rural schools in the Nyanza Province of Western Kenya. Using focus group discussions, in-depth interviews, and field notes from observations, researchers collected information from 48 primary schoolgirls and nine teachers. Systematic analysis began with a reading of transcripts and debriefing notes, followed by manual coding of the narratives. Focus group discussions became opportunities for girls to share thoughts on menstruation, instruct one another on management practices and advise one another on coping mechanisms. Girls expressed fear, shame, distraction and confusion as feelings associated with menstruation. These feelings are largely linked to a sense of embarrassment, concerns about being stigmatized by fellow students and, as teachers explained, a perception that the onset of menstruation signals the advent of a girl's sexual status. Among the many methods for managing their periods, girls most frequently said they folded, bunched up or sewed cloth, including cloth from shirts or dresses, scraps of old cloth, or strips of an old blanket. Cloth was reported to frequently leak and cause chafing, which made school attendance difficult particularly as the day progressed. Attitudes and practices of girls toward menstruation have been arranged into personal, environmental and behavioural factors. Further research on menstrual management options that are practical, sustainable and culturally acceptable must be conducted to inform future programs and policies that aim to empower young girls as they transition into womanhood. Stakeholders working within this and similar contexts must consider systematic mechanisms to explain to young girls what menstruation is and how to manage it. Providing sanitary supplies or guiding girls on how to create supplies serve as critical components for future interventions.;Shannon A. McMahon,Peter John Winch,Bethany A. Caruso,Alfredo F Obure,Emily Awino Ogutu,Emily Awino Ogutu,Imelda A Ochari,Richard Rheingans;BMC International Health and Human Rights;2011
